"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"1","USA","34,227,237","","612,701","","28,177,659","","5,436,877","5,186","102,842","1,841","489,733,608","1,471,500","332,812,597","North America","10","543",1,NA,NA,"16,336"
"2","India","28,996,949","","351,344","","27,341,462","+4,663","1,304,143","8,944","20,822","252","368,207,596","264,395","1,392,642,289","Asia","48","3,964",4,NA,NA,"936"
"3","Brazil","16,985,812","","474,614","","15,408,401","","1,102,797","8,318","79,385","2,218","50,028,915","233,815","213,967,902","South America","13","451",4,NA,NA,"5,154"
"4","France","5,713,917","","110,062","","5,425,197","","178,658","2,472","87,358","1,683","87,363,010","1,335,656","65,408,321","Europe","11","594",1,NA,NA,"2,731"
"5","Turkey","5,293,627","","48,255","","5,167,350","","78,022","1,060","62,143","566","55,673,616","653,568","85,184,183","Asia","16","1,765",2,NA,NA,"916"
"6","Russia","5,145,843","+9,977","124,496","+379","4,752,085","+8,883","269,262","2,300","35,247","853","140,800,000","964,431","145,992,893","Europe","28","1,173",1,68,3,"1,844"
"7","UK","4,522,476","","127,841","","4,277,098","","117,537","134","66,294","1,874","189,171,158","2,773,015","68,218,595","Europe","15","534",0,NA,NA,"1,723"
"8","Italy","4,233,698","","126,588","","3,918,657","","188,453","759","70,119","2,097","67,412,074","1,116,486","60,378,772","Europe","14","477",1,NA,NA,"3,121"
"9","Argentina","3,977,634","","81,946","","3,560,148","","335,540","7,827","87,263","1,798","14,639,773","321,173","45,582,153","South America","11","556",3,NA,NA,"7,361"
"10","Germany","3,710,341","","89,965","","3,549,900","+7,200","70,476","1,796","44,153","1,071","61,380,686","730,427","84,033,929","Europe","23","934",1,NA,NA,"839"
"11","Spain","3,707,523","","80,236","","3,490,978","","136,309","1,124","79,269","1,715","51,240,666","1,095,549","46,771,688","Europe","13","583",1,NA,NA,"2,914"
