"","Team","P","W","D","L","F","A","GD","Pts","Form"
"1","Man City","32","23","5","4","67","23","44","74","L,W,W,W,L"
"2","Man Utd","31","18","9","4","61","34","27","63","D,W,W,W,W"
"3","Leicester","31","17","5","9","55","37","18","56","D,W,W,L,L"
"4","West Ham","31","16","7","8","51","39","12","55","W,L,D,W,W"
"5","Chelsea","31","15","9","7","50","31","19","54","W,W,D,L,W"
"6","Liverpool","31","15","7","9","53","37","16","52","L,L,W,W,W"
"7","Tottenham","31","14","7","10","52","35","17","49","W,L,W,D,L"
"8","Everton","29","14","5","10","41","38","3","47","W,W,L,L,D"
"9","Arsenal","31","13","6","12","43","35","8","45","D,W,D,L,W"
"10","Leeds","31","14","3","14","49","49","0","45","L,D,W,W,W"
"11","Aston Villa","30","13","5","12","43","33","10","44","D,D,L,W,L"
"12","Wolves","31","10","8","13","31","41","-10","38","L,D,L,L,W"
"13","Crystal Palace","31","10","8","13","33","52","-19","38","D,L,W,D,L"
"14","Southampton","30","10","6","14","39","53","-14","36","L,W,L,L,W"
"15","Burnley","31","8","9","14","25","42","-17","33","D,D,W,L,L"
"16","Brighton","30","7","11","12","33","38","-5","32","L,L,W,W,L"
"17","Newcastle","31","8","8","15","32","51","-19","32","D,D,L,D,W"
"18","Fulham","32","5","11","16","24","42","-18","26","W,L,L,L,L"
"19","West Brom","30","4","9","17","25","59","-34","21","W,L,D,L,W"
"20","Sheff Utd","31","4","2","25","17","55","-38","14","W,L,L,L,L"
