"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"1",1,"USA","34,213,198","+2,185","612,407","+41","28,132,752","+10,015","5,468,039","5,245","102,802","1,840","487,035,748","1,463,417","332,807,303","North America","10","543",1,7,0.1,"16,430"
"2",2,"India","28,995,633","+86,029","351,323","+2,094","27,334,770","+184,043","1,309,540","8,944","20,821","252","366,334,111","263,057","1,392,605,249","Asia","48","3,964",4,62,2,"940"
"3",3,"Brazil","16,947,062","","473,495","","15,342,286","","1,131,281","8,318","79,205","2,213","49,842,105","232,946","213,963,780","South America","13","452",4,NA,NA,"5,287"
"4",4,"France","5,713,917","+1,164","110,062","+64","5,425,261","+16,126","178,594","2,472","87,358","1,683","87,363,010","1,335,664","65,407,928","Europe","11","594",1,18,1,"2,730"
"5",5,"Turkey","5,293,627","+5,647","48,255","+91","5,167,350","+6,576","78,022","1,060","62,145","566","55,673,616","653,587","85,181,705","Asia","16","1,765",2,66,1,"916"
"6",6,"Russia","5,135,866","+9,429","124,117","+330","4,743,202","+6,756","268,547","2,300","35,179","850","140,600,000","963,062","145,992,723","Europe","28","1,176",1,65,2,"1,839"
"7",7,"UK","4,522,476","+5,683","127,841","+1","4,277,098","+2,005","117,537","134","66,295","1,874","189,171,158","2,773,054","68,217,623","Europe","15","534",0,83,0.01,"1,723"
"8",8,"Italy","4,233,698","+1,273","126,588","+65","3,918,657","+5,024","188,453","759","70,119","2,097","67,412,074","1,116,482","60,379,014","Europe","14","477",1,21,1,"3,121"
"9",9,"Argentina","3,955,439","","81,214","","3,529,033","","345,192","7,776","86,778","1,782","14,563,226","319,502","45,581,021","South America","12","561",3,NA,NA,"7,573"
"10",10,"Germany","3,709,268","+489","89,872","+21","3,542,700","+4,700","76,696","1,796","44,141","1,069","61,380,686","730,434","84,033,199","Europe","23","935",1,6,0.2,"913"
"11",11,"Spain","3,707,523","+3,122","80,236","+14","3,490,978","+3,792","136,309","1,124","79,269","1,715","51,240,666","1,095,550","46,771,639","Europe","13","583",1,67,0.3,"2,914"
"12",12,"Colombia","3,571,067","","91,961","","3,310,737","","168,369","6,582","69,494","1,790","17,573,266","341,982","51,386,468","South America","14","559",3,NA,NA,"3,277"
"13",13,"Iran","2,971,270","+4,907","81,183","+120","2,565,972","+13,571","324,115","3,687","34,960","955","20,812,819","244,884","84,990,551","Asia","29","1,047",4,58,1,"3,814"
"14",14,"Poland","2,875,328","+194","74,160","+8","2,645,877","+727","155,291","463","76,051","1,961","16,259,923","430,066","37,808,004","Europe","13","510",2,5,0.2,"4,107"
"15",15,"Mexico","2,433,681","+1,401","228,804","+50","1,939,596","+1,619","265,281","4,798","18,693","1,757","7,131,367","54,776","130,190,606","North America","53","569",18,11,0.4,"2,038"
"16",16,"Ukraine","2,215,052","+535","51,215","+33","2,094,971","+1,743","68,866","177","50,934","1,178","10,336,155","237,674","43,488,773","Europe","20","849",4,12,0.8,"1,584"
"17",17,"Peru","1,983,570","","186,511","","N/A","N/A","N/A","2,642","59,392","5,585","13,173,460","394,440","33,397,915","South America","17","179",3,NA,NA,"2,287"
"18",18,"Indonesia","1,863,031","+6,993","51,803","+191","1,711,565","+5,594","99,663","","6,745","188","17,320,620","62,708","276,209,283","Asia","148","5,332",16,25,0.7,"361"
"19",19,"South Africa","1,696,564","","56,974","","1,578,033","","61,557","546","28,275","950","11,876,594","197,935","60,002,614","Africa","35","1,053",5,NA,NA,"1,026"
"20",20,"Netherlands","1,664,427","+1,377","17,681","+3","1,535,791","+7,396","110,955","345","96,937","1,030","14,248,931","829,866","17,170,155","Europe","10","971",1,80,0.2,"6,462"
"21",21,"Czechia","1,663,607","+90","30,164","+3","1,626,306","+7","7,137","45","155,079","2,812","25,703,379","2,396,033","10,727,472","Europe","6","356",0,8,0.3,"665"
"22",22,"Chile","1,434,884","+6,928","30,058","+121","1,355,224","+7,548","49,602","3,247","74,467","1,560","15,284,313","793,222","19,268,654","South America","13","641",1,360,6,"2,574"
"23",23,"Canada","1,393,299","+736","25,742","+18","1,344,001","+1,356","23,556","873","36,618","677","35,171,179","924,351","38,049,583","North America","27","1,478",1,19,0.5,"619"
"24",24,"Philippines","1,276,004","+6,539","21,969","+71","1,195,181","+6,969","58,854","1,704","11,502","198","13,716,493","123,645","110,934,272","Asia","87","5,050",8,59,0.6,"531"
"25",25,"Iraq","1,229,121","+4,129","16,566","+28","1,146,745","+4,652","65,810","435","29,937","403","10,719,740","261,091","41,057,533","Asia","33","2,478",4,101,0.7,"1,603"
"26",26,"Romania","1,078,952","+89","30,878","+63","1,043,171","+273","4,903","315","56,436","1,615","9,229,046","482,741","19,118,013","Europe","18","619",2,5,3,"256"
"27",27,"Sweden","1,078,062","","14,485","","1,002,915","+9,724","60,662","150","106,131","1,426","10,239,089","1,008,002","10,157,809","Europe","9","701",1,NA,NA,"5,972"
"28",28,"Belgium","1,070,802","+928","25,033","+14","985,968","+7,217","59,801","330","92,021","2,151","14,255,140","1,225,033","11,636,538","Europe","11","465",1,80,1,"5,139"
"29",29,"Pakistan","933,630","+1,490","21,323","+58","864,931","+1,820","47,376","3,205","4,152","95","13,572,884","60,360","224,864,293","Asia","241","10,546",17,7,0.3,"211"
"30",30,"Portugal","853,034","+388","17,036","+2","812,174","+277","23,824","59","83,886","1,675","11,966,284","1,176,741","10,169,006","Europe","12","597",1,38,0.2,"2,343"
